unit_code,unit,factory,production_date,total_emp_sl,dup,mean_prod_sl,missing_obs,percent_all_eight,percent_first_four,percent_last_four,percent_constant_four,percent_constant_eight,std
UNIT-61,E61,E61,01dec2022,342,0,451.39325,1.755618,94.943817,0,0,40.44944,3.9325843,177.3663
UNIT-61,E61,E61,02dec2022,380,0,459.1058,1.6687658,86.649872,0,0,55.667507,.25188917,157.11821
UNIT-61,E61,E61,03dec2022,363,0,502.82416,0,100,0,0,58.267715,.26246721,139.22539
UNIT-61,E61,E61,05dec2022,376,0,444.40561,9.5025511,71.17347,6.8877549,0,18.367348,0,153.73848
UNIT-61,E61,E61,06dec2022,385,0,398.14075,15,80,0,0,20.493828,0,185.13734
UNIT-61,E61,E61,07dec2022,385,0,430.69629,6.9444447,72.098763,0,0,27.160494,0,133.49103
UNIT-61,E61,E61,08dec2022,325,0,498.43195,.22189349,99.70414,0,0,33.136093,.88757396,145.81978
UNIT-61,E61,E61,09dec2022,356,0,472.67838,6.1486487,68.108109,0,0,54.324326,0,152.68629
UNIT-61,E61,E61,10dec2022,343,0,375.79388,26.880222,34.818943,0,0,51.253483,.27855152,201.31827
UNIT-61,E61,E61,12dec2022,135,0,408.44525,18.339417,0,0,0,94.890511,0,130.381
UNIT-61,E61,E61,17dec2022,311,0,359.29663,23.203363,62.996941,0,0,45.259937,.30581039,211.6727
UNIT-42,42,B42,01dec2022,342,0,403.17142,0,100,0,0,49.714287,14.571428,133.7339
UNIT-42,42,B42,02dec2022,381,0,386.68317,0,100,0,0,61.633663,18.316832,110.58614
UNIT-42,42,B42,03dec2022,379,0,362.21674,0,100,0,0,62.068966,23.891626,123.07787
UNIT-42,42,B42,05dec2022,382,0,276.66666,18.148148,75.802467,0,0,50.864197,6.9135804,148.162
UNIT-42,42,B42,06dec2022,382,0,316.96295,4.1358023,80.493828,0,0,75.30864,17.777779,139.37239
UNIT-42,42,B42,07dec2022,382,0,303.18024,8.6728392,49.135803,0,0,76.049385,12.345679,113.43258
UNIT-42,42,B42,08dec2022,382,0,379.45679,1.6049383,87.160492,0,0,80.740738,11.358025,109.9255
UNIT-42,42,B42,09dec2022,265,0,329.4982,8.1093187,35.125446,0,0,73.4767,8.6021509,104.03773
UNIT-42,42,B42,10dec2022,291,0,385.0163,0,100,0,0,33.550488,0,95.94175
UNIT-42,42,B42,12dec2022,332,0,375.43661,0,100,0,0,49.014084,6.4788733,142.31944
UNIT-42,42,B42,13dec2022,332,0,356.92957,0,100,0,0,65.633804,0,105.75733
UNIT-42,42,B42,14dec2022,382,0,333.83862,6.5403423,75.061127,0,0,55.256725,9.2909536,114.78532
UNIT-42,42,B42,15dec2022,353,0,380.10526,0,100,0,0,73.684212,20.789474,76.088333
UNIT-42,42,B42,16dec2022,382,0,312.15158,12.347188,63.569683,6.8459659,0,68.704155,13.202934,95.95887
UNIT-42,42,B42,17dec2022,382,0,370.88019,1.4669926,88.264061,0,0,74.327629,18.092909,112.65167
UNIT-41,41,S41,01dec2022,210,0,198.61111,73.090279,0,14.814815,0,14.814815,0,106.39075
UNIT-41,41,S41,02dec2022,319,0,176.875,75,0,0,0,0,0,74.22171
UNIT-41,41,S41,03dec2022,319,0,249.16667,66.369049,0,9.5238094,0,28.571428,0,226.79741
UNIT-41,41,S41,05dec2022,319,0,212.32143,70.20089,0,19.047619,0,19.047619,0,123.1228
UNIT-41,41,S41,06dec2022,292,0,286.39343,60.573769,0,0,0,31.47541,0,208.7989
UNIT-41,41,S41,07dec2022,323,0,236.26112,67.655785,0,9.4955492,0,28.486647,0,168.22771
UNIT-41,41,S41,08dec2022,357,0,203.44,69.933334,0,8.5333338,0,8.5333338,0,120.90083
UNIT-41,41,S41,09dec2022,360,0,291.03403,56.544502,0,34.554974,0,59.685863,0,190.61429
UNIT-41,41,S41,10dec2022,360,0,332.12042,51.178009,0,0,0,59.685863,0,214.49834
UNIT-41,41,S41,12dec2022,247,0,174.58647,70.065788,0,0,0,0,0,92.916161
UNIT-41,41,S41,13dec2022,381,0,363.23309,49.655388,0,0,0,40.10025,0,210.21184
UNIT-41,41,S41,14dec2022,386,0,396.26471,44.730392,31.372549,0,0,39.215687,0,338.90558
UNIT-41,41,S41,15dec2022,369,0,346.57962,52.904701,8.3550911,0,0,41.775455,0,245.81857
UNIT-41,41,S41,16dec2022,276,0,355.55554,50.434029,0,31.597221,0,66.319443,0,190.6098
UNIT-41,41,S41,17dec2022,306,0,355.49521,54.592651,0,0,0,40.894569,0,173.02687
UNIT-40,40,M40,01dec2022,346,0,542.70892,0,100,0,0,67.146973,10.37464,107.10123
UNIT-40,40,M40,02dec2022,350,0,515.01422,0,100,0,0,95.156693,23.646723,118.10135
UNIT-40,40,M40,03dec2022,329,0,576.94867,.49093655,96.07251,0,0,78.851967,16.918428,76.953705
UNIT-40,40,M40,05dec2022,326,0,575.04877,0,100,0,0,94.81707,12.5,85.221191
UNIT-40,40,M40,06dec2022,326,0,532.82928,0,100,0,0,86.890244,18.902439,100.03973
UNIT-40,40,M40,07dec2022,289,0,456.03436,3.4364262,93.127151,6.8728523,0,76.632301,21.993128,107.55675
UNIT-40,40,M40,08dec2022,317,0,490.94043,.31347963,99.373039,0,0,86.520378,43.887146,102.21321
UNIT-40,40,M40,09dec2022,369,0,483.80054,2.1226416,83.018867,0,0,87.601082,32.884098,100.03704
UNIT-40,40,M40,10dec2022,346,0,541.74713,0,100,0,0,84.770119,10.344828,119.47292
UNIT-40,40,M40,12dec2022,312,0,507.64331,0,100,0,0,77.388535,25.796179,144.38208
UNIT-40,40,M40,13dec2022,313,0,546.98413,0,100,0,0,95.555557,25.396826,98.012657
UNIT-40,40,M40,14dec2022,335,0,545.11902,0,100,0,0,81.547623,31.25,99.650063
